group,names,scores,logfoldchanges,pvals,pvals_adj
CD14+ Monocytes,PAFAH1B1,-12.737449,,3.6617617033243707e-37,7.917322601782423e-37
CD14+ Monocytes,RAB2A,-12.742076,,3.4508680829972834e-37,7.469411435059055e-37
CD14+ Monocytes,CYTH2,-12.79067,,1.8487237505984005e-37,4.014600978498155e-37
CD14+ Monocytes,LEPROT,-12.793053,,1.7929110070534774e-37,3.897632624029298e-37
CD14+ Monocytes,OSCAR,-12.818847,,1.2859910952643104e-37,2.801723519094358e-37
CD14+ Monocytes,TMEM208,-12.848316,,8.79028118105652e-38,1.9171823731857188e-37
CD14+ Monocytes,CDC16,-12.85587,,7.972309920803179e-38,1.7406790220094278e-37
CD14+ Monocytes,GMPR2,-12.856892,,7.867740750521999e-38,1.7197247542124587e-37
CD14+ Monocytes,LMF2,-12.994438,,1.3156990263577237e-38,2.888472066647033e-38
CD14+ Monocytes,RUFY1,-13.014856,,1.0073184407733844e-38,2.2163222019216378e-38
CD14+ Monocytes,ZNF106,-13.103128,,3.1596051784673867e-39,6.967155851085748e-39
CD14+ Monocytes,SRSF6,-13.107824,,2.969960668225213e-39,6.556204565618571e-39
CD14+ Monocytes,IFIT1,-13.1106825,,2.860111776189162e-39,6.320689008152844e-39
CD14+ Monocytes,AP4S1,-13.121232,,2.4885586990300763e-39,5.505660838562115e-39
CD14+ Monocytes,RP11-301O19.1,-13.124839,,2.3728591086123613e-39,5.2555019016885077e-39
CD14+ Monocytes,RALY,-13.1498165,,1.7058729113705696e-39,3.7824233068083583e-39
CD14+ Monocytes,ENKUR,-13.171936,3.0533621,1.2729132173611232e-39,2.8255565313232478e-39
CD14+ Monocytes,SRA1,-13.192353,,9.710553465380348e-40,2.1579007700845216e-39
CD14+ Monocytes,C1orf198,-13.235707,1.5567935,5.458067694118805e-40,1.2142531021398898e-39
CD14+ Monocytes,C19orf33,-13.24333,2.3668115,4.9313168514040416e-40,1.0982888310476707e-39
